time,date,Volume,anom
2001-09-01 00:00:00,200109,2479861000000000.0,46752600000000.0
2001-10-01 00:00:00,200110,2543220000000000.0,61351730000000.0
2001-11-01 00:00:00,200111,2600541000000000.0,73593730000000.0
2001-12-01 00:00:00,200112,2628518000000000.0,83583820000000.0
2002-01-01 00:00:00,200201,2634158000000000.0,105327600000000.0
2002-02-01 00:00:00,200202,2597890000000000.0,103505200000000.0
2002-03-01 00:00:00,200203,2526582000000000.0,64925950000000.0
2002-04-01 00:00:00,200204,2463902000000000.0,35741640000000.0
2002-05-01 00:00:00,200205,2441019000000000.0,41376370000000.0
2002-06-01 00:00:00,200206,2450465000000000.0,69056360000000.0
2002-07-01 00:00:00,200207,2473744000000000.0,97257920000000.0
2002-08-01 00:00:00,200208,2520377000000000.0,126287100000000.0
2002-09-01 00:00:00,200209,2589694000000000.0,156585100000000.0
2002-10-01 00:00:00,200210,2647714000000000.0,165846400000000.0
2002-11-01 00:00:00,200211,2653344000000000.0,126396900000000.0
2002-12-01 00:00:00,200212,2599803000000000.0,54869550000000.0
2003-01-01 00:00:00,200301,2516492000000000.0,-12338640000000.0
2003-02-01 00:00:00,200302,2444441000000000.0,-49943490000000.0
2003-03-01 00:00:00,200303,2403404000000000.0,-58251840000000.0
2003-04-01 00:00:00,200304,2372018000000000.0,-56143010000000.0
2003-05-01 00:00:00,200305,2368247000000000.0,-31395410000000.0
2003-06-01 00:00:00,200306,2404915000000000.0,23506360000000.0
2003-07-01 00:00:00,200307,2446953000000000.0,70467260000000.0
2003-08-01 00:00:00,200308,2469313000000000.0,75223130000000.0
2003-09-01 00:00:00,200309,2498608000000000.0,65499590000000.0
2003-10-01 00:00:00,200310,2563389000000000.0,81521430000000.0
2003-11-01 00:00:00,200311,2625817000000000.0,98869070000000.0
2003-12-01 00:00:00,200312,2632511000000000.0,87577600000000.0
2004-01-01 00:00:00,200401,2586427000000000.0,57595780000000.0
2004-02-01 00:00:00,200402,2526785000000000.0,32400430000000.0
2004-03-01 00:00:00,200403,2475735000000000.0,14078370000000.0
2004-04-01 00:00:00,200404,2447524000000000.0,19363590000000.0
2004-05-01 00:00:00,200405,2429352000000000.0,29709090000000.0
2004-06-01 00:00:00,200406,2435690000000000.0,54281680000000.0
2004-07-01 00:00:00,200407,2459587000000000.0,83101710000000.0
2004-08-01 00:00:00,200408,2486064000000000.0,91973770000000.0
2004-09-01 00:00:00,200409,2543407000000000.0,110298200000000.0
2004-10-01 00:00:00,200410,2604432000000000.0,122564100000000.0
2004-11-01 00:00:00,200411,2649637000000000.0,122689800000000.0
2004-12-01 00:00:00,200412,2659502000000000.0,114568000000000.0
2005-01-01 00:00:00,200501,2618240000000000.0,89409140000000.0
2005-02-01 00:00:00,200502,2581791000000000.0,87406070000000.0
2005-03-01 00:00:00,200503,2555779000000000.0,94123130000000.0
2005-04-01 00:00:00,200504,2497465000000000.0,69304400000000.0
2005-05-01 00:00:00,200505,2436663000000000.0,37020470000000.0
2005-06-01 00:00:00,200506,2403532000000000.0,22123910000000.0
2005-07-01 00:00:00,200507,2395010000000000.0,18523930000000.0
2005-08-01 00:00:00,200508,2401039000000000.0,6948452000000.0
2005-09-01 00:00:00,200509,2423580000000000.0,-9528385000000.0
2005-10-01 00:00:00,200510,2463544000000000.0,-18323670000000.0
2005-11-01 00:00:00,200511,2506541000000000.0,-20406460000000.0
2005-12-01 00:00:00,200512,2523689000000000.0,-21244250000000.0
2006-01-01 00:00:00,200601,2505800000000000.0,-23030690000000.0
2006-02-01 00:00:00,200602,2485806000000000.0,-8578929000000.0
2006-03-01 00:00:00,200603,2475912000000000.0,14256070000000.0
2006-04-01 00:00:00,200604,2464208000000000.0,36046860000000.0
2006-05-01 00:00:00,200605,2467526000000000.0,67883570000000.0
2006-06-01 00:00:00,200606,2476632000000000.0,95223990000000.0
2006-07-01 00:00:00,200607,2480938000000000.0,104452300000000.0
2006-08-01 00:00:00,200608,2502313000000000.0,108222400000000.0
2006-09-01 00:00:00,200609,2542094000000000.0,108985600000000.0
2006-10-01 00:00:00,200610,2600383000000000.0,118515600000000.0
2006-11-01 00:00:00,200611,2638961000000000.0,112013000000000.0
2006-12-01 00:00:00,200612,2592138000000000.0,47204370000000.0
2007-01-01 00:00:00,200701,2489771000000000.0,-39060040000000.0
2007-02-01 00:00:00,200702,2406363000000000.0,-88021600000000.0
2007-03-01 00:00:00,200703,2347025000000000.0,-114631300000000.0
2007-04-01 00:00:00,200704,2309236000000000.0,-118925000000000.0
2007-05-01 00:00:00,200705,2299071000000000.0,-100571500000000.0
2007-06-01 00:00:00,200706,2301907000000000.0,-79501460000000.0
2007-07-01 00:00:00,200707,2297684000000000.0,-78801380000000.0
2007-08-01 00:00:00,200708,2304591000000000.0,-89499600000000.0
2007-09-01 00:00:00,200709,2335910000000000.0,-97198600000000.0
2007-10-01 00:00:00,200710,2388062000000000.0,-93805580000000.0
2007-11-01 00:00:00,200711,2455581000000000.0,-71366250000000.0
2007-12-01 00:00:00,200712,2500810000000000.0,-44123270000000.0
2008-01-01 00:00:00,200801,2505038000000000.0,-23793050000000.0
2008-02-01 00:00:00,200802,2512875000000000.0,18490370000000.0
2008-03-01 00:00:00,200803,2532365000000000.0,70708850000000.0
2008-04-01 00:00:00,200804,2530652000000000.0,102491100000000.0
2008-05-01 00:00:00,200805,2516899000000000.0,117256900000000.0
2008-06-01 00:00:00,200806,2500354000000000.0,118945400000000.0
2008-07-01 00:00:00,200807,2467700000000000.0,91214100000000.0
2008-08-01 00:00:00,200808,2432559000000000.0,38468950000000.0
2008-09-01 00:00:00,200809,2423940000000000.0,-9168145000000.0
2008-10-01 00:00:00,200810,2450445000000000.0,-31422520000000.0
2008-11-01 00:00:00,200811,2478308000000000.0,-48639430000000.0
2008-12-01 00:00:00,200812,2491068000000000.0,-53865600000000.0
2009-01-01 00:00:00,200901,2498637000000000.0,-30193890000000.0
2009-02-01 00:00:00,200902,2492721000000000.0,-1664031000000.0
2009-03-01 00:00:00,200903,2489431000000000.0,27775020000000.0
2009-04-01 00:00:00,200904,2501811000000000.0,73649830000000.0
2009-05-01 00:00:00,200905,2510969000000000.0,111326100000000.0
2009-06-01 00:00:00,200906,2511881000000000.0,130473100000000.0
2009-07-01 00:00:00,200907,2501176000000000.0,124690400000000.0
2009-08-01 00:00:00,200908,2500946000000000.0,106855600000000.0
2009-09-01 00:00:00,200909,2529811000000000.0,96702260000000.0
2009-10-01 00:00:00,200910,2577688000000000.0,95820180000000.0
2009-11-01 00:00:00,200911,2626350000000000.0,99402450000000.0
2009-12-01 00:00:00,200912,2629830000000000.0,84896200000000.0
2010-01-01 00:00:00,201001,2587183000000000.0,58351690000000.0
2010-02-01 00:00:00,201002,2538935000000000.0,44550090000000.0
2010-03-01 00:00:00,201003,2479696000000000.0,18039670000000.0
2010-04-01 00:00:00,201004,2391089000000000.0,-37072280000000.0
2010-05-01 00:00:00,201005,2306159000000000.0,-93483450000000.0
2010-06-01 00:00:00,201006,2263996000000000.0,-117412300000000.0
2010-07-01 00:00:00,201007,2251691000000000.0,-124794200000000.0
2010-08-01 00:00:00,201008,2245414000000000.0,-148676600000000.0
2010-09-01 00:00:00,201009,2271120000000000.0,-161989000000000.0
2010-10-01 00:00:00,201010,2330131000000000.0,-151736600000000.0
2010-11-01 00:00:00,201011,2406032000000000.0,-120915100000000.0
2010-12-01 00:00:00,201012,2467257000000000.0,-77676360000000.0
2011-01-01 00:00:00,201101,2518036000000000.0,-10794590000000.0
2011-02-01 00:00:00,201102,2562322000000000.0,67936720000000.0
2011-03-01 00:00:00,201103,2573910000000000.0,112253800000000.0
2011-04-01 00:00:00,201104,2561077000000000.0,132916600000000.0
2011-05-01 00:00:00,201105,2530415000000000.0,130772900000000.0
2011-06-01 00:00:00,201106,2483602000000000.0,102193400000000.0
2011-07-01 00:00:00,201107,2440577000000000.0,64091650000000.0
2011-08-01 00:00:00,201108,2418108000000000.0,24017730000000.0
2011-09-01 00:00:00,201109,2423103000000000.0,-10005660000000.0
2011-10-01 00:00:00,201110,2452588000000000.0,-29279600000000.0
2011-11-01 00:00:00,201111,2491743000000000.0,-35204240000000.0
2011-12-01 00:00:00,201112,2514026000000000.0,-30908200000000.0
2012-01-01 00:00:00,201201,2513741000000000.0,-15090100000000.0
2012-02-01 00:00:00,201202,2502131000000000.0,7745974000000.0
2012-03-01 00:00:00,201203,2489888000000000.0,28231890000000.0
2012-04-01 00:00:00,201204,2486963000000000.0,58802130000000.0
2012-05-01 00:00:00,201205,2488803000000000.0,89160300000000.0
2012-06-01 00:00:00,201206,2481061000000000.0,99652640000000.0
2012-07-01 00:00:00,201207,2468542000000000.0,92056450000000.0
2012-08-01 00:00:00,201208,2467069000000000.0,72978470000000.0
2012-09-01 00:00:00,201209,2481111000000000.0,48002430000000.0
2012-10-01 00:00:00,201210,2507945000000000.0,26077430000000.0
2012-11-01 00:00:00,201211,2532277000000000.0,5329518000000.0
2012-12-01 00:00:00,201212,2537849000000000.0,-7084549000000.0
2013-01-01 00:00:00,201301,2528977000000000.0,146297300000.0
2013-02-01 00:00:00,201302,2510419000000000.0,16033920000000.0
2013-03-01 00:00:00,201303,2478912000000000.0,17255570000000.0
2013-04-01 00:00:00,201304,2443484000000000.0,15323100000000.0
2013-05-01 00:00:00,201305,2422162000000000.0,22519860000000.0
2013-06-01 00:00:00,201306,2421191000000000.0,39783210000000.0
2013-07-01 00:00:00,201307,2438604000000000.0,62118110000000.0
2013-08-01 00:00:00,201308,2469621000000000.0,75531030000000.0
2013-09-01 00:00:00,201309,2514952000000000.0,81843020000000.0
2013-10-01 00:00:00,201310,2571716000000000.0,89848030000000.0
2013-11-01 00:00:00,201311,2615613000000000.0,88665840000000.0
2013-12-01 00:00:00,201312,2626750000000000.0,81815910000000.0
2014-01-01 00:00:00,201401,2618996000000000.0,90165590000000.0
2014-02-01 00:00:00,201402,2623150000000000.0,128765000000000.0
2014-03-01 00:00:00,201403,2630529000000000.0,168873300000000.0
2014-04-01 00:00:00,201404,2607757000000000.0,179595700000000.0
2014-05-01 00:00:00,201405,2550116000000000.0,150473600000000.0
2014-06-01 00:00:00,201406,2495328000000000.0,113919400000000.0
2014-07-01 00:00:00,201407,2476906000000000.0,100420600000000.0
2014-08-01 00:00:00,201408,2502409000000000.0,108318500000000.0
2014-09-01 00:00:00,201409,2554197000000000.0,121088000000000.0
2014-10-01 00:00:00,201410,2606401000000000.0,124533100000000.0
