,ZC_oni
1991-04,-0.5972638911834913
1991-05,-1.6292786541074946
1991-06,-2.5803551566014953
1991-07,-3.093890776058469
1991-08,-3.0383005047529394
1991-09,-2.7959383601988144
1991-10,-2.4976048674930773
1991-11,-2.154430600833212
1991-12,-1.5879997279633287
1992-01,-0.7052782206279886
1992-02,0.22689633091746586
1992-03,0.8644031460130392
1992-04,1.1157138217992362
1992-05,1.162347057059467
1992-06,1.2281219612485934
1992-07,1.4136319411868392
1992-08,1.7253471718486288
1992-09,2.0467775568974247
1992-10,2.302939930299722
1992-11,2.4913893785376793
1992-12,2.6758708669272195
1993-01,2.826318766541309
1993-02,2.8703644661802947
1993-03,2.716184451913975
1993-04,2.3725593415730266
1993-05,1.9921012911413563
1993-06,1.7871352385712562
1993-07,1.8739623365745182
1993-08,2.08780239393246
1993-09,2.2214564392095397
1993-10,2.2954368959325464
1993-11,2.3463543246243894
1993-12,2.412106013554755
1994-01,2.434020488270626
1994-02,2.3462726913847334
1994-03,2.074077116808482
1994-04,1.6238375685635198
1994-05,1.006810965983771
1994-06,0.4121252813341876
1994-07,-0.052529543710111426
1994-08,-0.5224464922579024
1994-09,-0.879806337424661
1994-10,-1.0852306455696947
1994-11,-1.2385584780711483
1994-12,-1.1586520415906065
1995-01,-1.2182651630546601
1995-02,-1.4067056604741381
1995-03,-1.719661730803626
1995-04,-2.182051063257841
1995-05,-2.6971242863871403
1995-06,-3.0940823245473936
1995-07,-3.1766111610489247
1995-08,-2.9278462483325143
1995-09,-2.543589785991962
1995-10,-2.0337391411071977
1995-11,-1.3137542685478891
1995-12,-0.3365378386272333
1996-01,0.6511285632355062
1996-02,1.4565184621422986
1996-03,1.8527778229010536
1996-04,1.8654295322560408
1996-05,1.758646731346019
1996-06,1.7637936397457494
1996-07,1.9475112195880513
1996-08,2.2146837976283074
1996-09,2.401177471422777
1996-10,2.519092583617116
1996-11,2.6053898429647724
1996-12,2.703920765350304
1997-01,2.758758512616051
1997-02,2.7547456437375715
1997-03,2.5652733515702977
1997-04,2.1656293822630843
1997-05,1.7651000628822757
1997-06,1.5668568288771674
1997-07,1.6237357176124725
1997-08,1.6768206541196058
1997-09,1.5915284051649152
1997-10,1.5415792506850678
1997-11,1.5269051292417153
1997-12,1.5663757640941007
1998-01,1.5426562320670918
1998-02,1.4713746520437212
1998-03,1.113096601185564
1998-04,0.3239648015218215
1998-05,-0.8641538690901882
1998-06,-2.0883348950464367
1998-07,-2.7967312099218873
1998-08,-3.0063033111715747
1998-09,-2.9696489177773735
1998-10,-2.798872853333549
1998-11,-2.540664395807081
1998-12,-2.1445360024108027
1999-01,-1.6309530474425884
1999-02,-0.9325551172139157
1999-03,-0.2849462121475277
1999-04,0.11676168147408106
1999-05,0.33784354927375304
1999-06,0.5502312095473272
1999-07,0.8549042676175986
1999-08,1.1966410610185427
1999-09,1.5669559060914011
1999-10,1.9183844969927613
1999-11,2.188463784287663
1999-12,2.449845282906441
2000-01,2.7139983367532423
2000-02,2.8526691667262654
2000-03,2.7416672808696383
2000-04,2.3902140317099843
2000-05,2.032109458801859
2000-06,1.8597176119077439
2000-07,1.8713151243945667
2000-08,1.9978788259194182
2000-09,2.125896332216872
2000-10,2.164092185416525
2000-11,2.1649612390064945
2000-12,2.180133662425696
2001-01,2.1977988176943626
2001-02,2.183624944635433
2001-03,1.9809826425090264
2001-04,1.5429491043948573
2001-05,0.9215834853146028
2001-06,0.13697574670614188
2001-07,-0.6453098618924251
2001-08,-1.202096307145215
2001-09,-1.453736457480776
2001-10,-1.4998666614173217
2001-11,-1.508013753914483
2001-12,-1.4447490988313518
2002-01,-1.271681201747647
2002-02,-1.0820015700407168
2002-03,-1.1758971881641145
2002-04,-1.4921944626632744
2002-05,-1.6974721202582472
2002-06,-1.825281960531143
2002-07,-1.9434430973856962
2002-08,-1.9721948269343095
2002-09,-1.779425535450514
2002-10,-1.3390827833990109
2002-11,-0.7857587395309729
2002-12,-0.11131024884687335
2003-01,0.6808908860123459
2003-02,1.3909210713771039
2003-03,1.7708545008589809
2003-04,1.7953806684792148
2003-05,1.706416505510088
2003-06,1.7433563270629193
2003-07,1.9504048094700117
2003-08,2.213210393027243
2003-09,2.4124026583083094
2003-10,2.5371217281382883
2003-11,2.6276632555832933
2003-12,2.712587679985244
2004-01,2.7936387228292503
2004-02,2.8266229027207856
2004-03,2.615490762973309
2004-04,2.159687752133749
2004-05,1.6910294074125254
2004-06,1.3553988063063471
2004-07,1.213048509555545
2004-08,1.1579077490647265
2004-09,0.9908675200415544
2004-10,0.728264250117558
2004-11,0.5441445223543013
2004-12,0.5810875932391468
2005-01,0.7658314560355386
2005-02,0.8377180230419512
2005-03,0.6987744008735461
2005-04,0.22922336065351345
2005-05,-0.5323876217944878
2005-06,-1.2596008287260858
2005-07,-1.8143923702832794
2005-08,-2.2363926223771387
2005-09,-2.3457146030373934
2005-10,-2.2388982670909208
2005-11,-2.138625719660549
2005-12,-1.8490030426891408
2006-01,-1.1659776025221191
2006-02,-0.5067611188647909
2006-03,0.023024899845538016
2006-04,0.2919673865378911
2006-05,0.4061318497531303
2006-06,0.5315207450429966
2006-07,0.8147540173239101
2006-08,1.1463394181365985
2006-09,1.4313611695607484
2006-10,1.6665928596723845
2006-11,1.8548619258986534
2006-12,2.0866524947648593
2007-01,2.4616547645028994
2007-02,2.6349977643988787
2007-03,2.5547190904227257
2007-04,2.2084358949316147
2007-05,1.840604553479963
2007-06,1.6583138935156185
2007-07,1.7141931736169802
2007-08,1.9083245076163635
2007-09,2.032947403442005
2007-10,2.039468484349616
2007-11,1.9656316171235098
2007-12,1.9620949860161652
2008-01,2.1809632052911354
2008-02,2.1553030802828523
2008-03,1.8854072353769489
2008-04,1.2670181824602658
2008-05,0.5257577105913782
2008-06,-0.08011452047976775
2008-07,-0.6345939028183274
2008-08,-1.1622595136541598
2008-09,-1.5128362264926096
2008-10,-1.6822582930746854
2008-11,-1.69944791969586
2008-12,-1.640677807322735
2009-01,-1.2416615760813272
2009-02,-0.8518152808474966
2009-03,-0.712604881876171
2009-04,-0.8555549871561325
2009-05,-1.1303399614943395
2009-06,-1.3751548678246976
2009-07,-1.5314349134382752
2009-08,-1.5482383633744483
2009-09,-1.4871418349252465
2009-10,-1.34609106538813
2009-11,-1.0157242812506766
2009-12,-0.451038902438345
